Integrate from Crystallize 11.21
Run name:	PM1_simple2E
Number of crystals:	2800
Total volume:	8
Bounds:	0.0	0.0	0.0	2	2	2
1	1.4200	1.1800	1.3000	0.07837	824000	442.141
2	0.8800	0.5000	1.0000	0.07584	919000	442.965
3	1.5200	1.6800	1.7200	0.08668	981000	443.502
4	1.9400	1.3400	1.3800	0.07893	1018000	443.823
5	1.2800	0.8000	1.5600	0.06151	1062000	444.204
6	1.1800	0.8600	1.6800	0.05499	1074000	444.308
7	1.3800	0.8400	1.4400	0.05744	1077000	444.334
8	1.1800	0.3600	1.1400	0.05941	1095000	444.49
9	0.9000	0.1400	0.1200	0.08831	1142000	444.897
10	1.0400	1.9000	1.7200	0.07959	1159000	445.045
11	1.3000	0.0800	1.6600	0.08599	1173000	445.166
12	0.7800	0.9200	1.5800	0.06282	1188000	445.296
13	0.2000	1.0000	0.1600	0.07474	1211000	445.495
14	1.4000	1.4600	0.0400	0.07144	1236000	445.712
15	1.2200	0.8000	0.5000	0.06881	1261000	445.929
16	0.4400	1.8000	1.1800	0.05652	1282000	446.111
17	0.8800	0.1600	0.4200	0.09395	1308000	446.336
18	0.0400	1.3400	0.9200	0.06573	1333000	446.553
19	0.2000	0.8000	1.1600	0.08023	1350000	446.7
20	1.3600	0.9000	1.8200	0.07952	1379000	446.951
21	1.6800	1.2200	1.9200	0.07945	1386000	447.012
22	0.8200	1.6800	0.2400	0.06197	1467000	447.714
23	0.7200	0.3400	0.3800	0.06495	1482000	447.844
24	0.5800	0.6000	0.8000	0.06279	1497000	447.974
25	0.6200	1.1200	0.0600	0.06910	1497000	447.974
26	1.8400	0.6000	0.6800	0.06229	1510000	448.087
27	1.4600	0.4000	1.6000	0.06677	1516000	448.139
28	1.3400	1.6000	1.4600	0.07793	1521000	448.182
29	1.7600	1.0400	0.6200	0.07999	1552000	448.451
30	0.7000	0.8200	1.6600	0.06986	1563000	448.546
31	0.8600	0.1600	0.6600	0.07647	1577000	448.667
32	1.8800	1.8600	0.4400	0.08900	1586000	448.745
33	0.5800	0.6600	1.8600	0.06864	1592000	448.797
34	0.6000	1.6600	1.0800	0.06826	1599000	448.858
35	1.8200	0.8400	0.3000	0.07437	1610000	448.953
36	0.5600	1.3400	1.8800	0.06524	1622000	449.057
37	0.9400	1.4000	1.7400	0.05053	1624000	449.075
38	1.7800	1.2400	1.2600	0.05870	1662000	449.404
39	0.6600	0.6400	1.3600	0.07523	1664000	449.421
40	1.0200	1.0400	0.6000	0.06242	1667000	449.447
41	1.1600	1.1400	0.5400	0.06105	1702000	449.751
42	0.9200	1.2800	0.2400	0.07304	1706000	449.785
43	0.2000	0.6000	1.5400	0.05849	1709000	449.811
44	0.9400	0.7200	0.8600	0.06651	1711000	449.829
45	1.0000	0.5000	1.8000	0.06480	1754000	450.201
46	1.0400	0.2200	0.7800	0.07274	1765000	450.297
47	1.3600	0.1200	1.6200	0.06598	1771000	450.349
48	1.7600	1.9000	1.1000	0.07185	1782000	450.444
49	0.8400	1.2400	0.8600	0.07792	1797000	450.574
50	0.2600	0.8200	1.5800	0.05778	1810000	450.687
